province,tpye,data
境外输入市,confirm,287
境外输入市,dead,0
境外输入市,heal,263
境外输入市,new_confirm,1
成都市,confirm,158
成都市,dead,3
成都市,heal,142
成都市,new_confirm,0
广元市,confirm,6
广元市,dead,0
广元市,heal,6
广元市,new_confirm,0
广安市,confirm,30
广安市,dead,0
广安市,heal,30
广安市,new_confirm,0
达州市,confirm,42
达州市,dead,0
达州市,heal,42
达州市,new_confirm,0
南充市,confirm,39
南充市,dead,0
南充市,heal,39
南充市,new_confirm,0
自贡市,confirm,9
自贡市,dead,0
自贡市,heal,9
自贡市,new_confirm,0
攀枝花市,confirm,16
攀枝花市,dead,0
攀枝花市,heal,16
攀枝花市,new_confirm,0
泸州市,confirm,24
泸州市,dead,0
泸州市,heal,24
泸州市,new_confirm,0
德阳市,confirm,18
德阳市,dead,0
德阳市,heal,18
德阳市,new_confirm,0
绵阳市,confirm,22
绵阳市,dead,0
绵阳市,heal,22
绵阳市,new_confirm,0
雅安市,confirm,8
雅安市,dead,0
雅安市,heal,8
雅安市,new_confirm,0
遂宁市,confirm,17
遂宁市,dead,0
遂宁市,heal,17
遂宁市,new_confirm,0
内江市,confirm,22
内江市,dead,0
内江市,heal,22
内江市,new_confirm,0
乐山市,confirm,3
乐山市,dead,0
乐山市,heal,3
乐山市,new_confirm,0
宜宾市,confirm,12
宜宾市,dead,0
宜宾市,heal,12
宜宾市,new_confirm,0
凉山市,confirm,13
凉山市,dead,0
凉山市,heal,13
凉山市,new_confirm,0
甘孜市,confirm,78
甘孜市,dead,0
甘孜市,heal,78
甘孜市,new_confirm,0
阿坝市,confirm,1
阿坝市,dead,0
阿坝市,heal,1
阿坝市,new_confirm,0
资阳市,confirm,4
资阳市,dead,0
资阳市,heal,4
资阳市,new_confirm,0
眉山市,confirm,8
眉山市,dead,0
眉山市,heal,8
眉山市,new_confirm,0
巴中市,confirm,24
巴中市,dead,0
巴中市,heal,24
巴中市,new_confirm,0
